model,allocation,tie_rule,score,clip,source_group,N,B,A,E,risk,retention,risk_pass,coverage_pass,joint_pass,zero_retained,count_lower_bound
Combined,global,identity,confidence_deficit,case47_4,case47,2128,0,2128,0,0.0,1.0,True,True,True,False,0.0
Combined,global,identity,confidence_deficit,case48,case48,2816,649,2445,278,0.11370143149284254,0.8682528409090909,True,True,True,False,0.11370143149284254
Combined,global,identity,confidence_deficit,case50_2,case50,2400,14,2398,12,0.0050041701417848205,0.9991666666666666,True,True,True,False,0.0050041701417848205
Combined,global,identity,confidence_deficit,case50_4,case50,3792,273,3692,173,0.04685807150595883,0.9736286919831224,True,True,True,False,0.04685807150595883
Combined,global,identity,confidence_deficit,case51_10,case51,3488,64,3483,59,0.016939420040195233,0.9985665137614679,True,True,True,False,0.016939420040195233
Combined,global,identity,confidence_deficit,case51_3,case51,3360,302,3214,156,0.04853764779091475,0.9565476190476191,True,True,True,False,0.04853764779091475
Combined,global,identity,confidence_deficit,case51_5,case51,2400,221,2277,98,0.043039086517347384,0.94875,True,True,True,False,0.043039086517347384
Combined,global,identity,confidence_deficit,case51_7,case51,2144,560,1694,110,0.06493506493506493,0.7901119402985075,True,True,True,False,0.06493506493506493
Combined,global,identity,confidence_deficit,case51_9,case51,2400,617,2287,504,0.22037603847835593,0.9529166666666666,False,True,False,False,0.22037603847835593
Combined,global,identity,confidence_deficit,case54_1,case54,3376,1710,2056,390,0.18968871595330739,0.6090047393364929,False,True,False,False,0.18968871595330739
Combined,global,identity,confidence_deficit,case56_1,case56,2400,126,2351,77,0.0327520204168439,0.9795833333333334,True,True,True,False,0.0327520204168439
Combined,global,identity,confidence_deficit,case5_4,case5,2400,19,2395,14,0.005845511482254697,0.9979166666666667,True,True,True,False,0.005845511482254697
Combined,global,identity,confidence_deficit,case60,case60,2336,1658,1575,897,0.5695238095238095,0.6742294520547946,False,True,False,False,0.5695238095238095
Combined,global,identity,confidence_deficit,case61_3,case61,3536,203,3468,135,0.03892733564013841,0.9807692307692307,True,True,True,False,0.03892733564013841
Combined,global,identity,confidence_deficit,case63_3,case63,2768,68,2747,47,0.017109574080815437,0.9924132947976878,True,True,True,False,0.017109574080815437
